id_orgao,nm_orgao,sigla_orgao,esfera,home_page,nome_municipio,cd_municipio_ibge
100,ASSEMBLEIA LEGISLATIVA,AL,ESTADUAL,www.al.rs.gov.br,PORTO ALEGRE,4314902
200,TRIBUNAL DE CONTAS DO ESTADO DO RS,TCE,ESTADUAL,www.tce.rs.gov.br,PORTO ALEGRE,4314902
300,TRIBUNAL DE JUSTIÇA,TJRS,ESTADUAL,www.tjrs.jus.br,PORTO ALEGRE,4314902
400,TRIBUNAL DE ALÇADA,TA,ESTADUAL,,PORTO ALEGRE,4314902
700,JUSTIÇA MILITAR DO ESTADO,JME,ESTADUAL,,PORTO ALEGRE,4314902
800,GABINETE DO GOVERNADOR,GG,ESTADUAL,www.estado.rs.gov.br,PORTO ALEGRE,4314902
802,GABINETE DO VICE-GOVERNADOR,GVG,ESTADUAL,www.gvg.rs.gov.br,PORTO ALEGRE,4314902
805,CASA MILITAR,CM,ESTADUAL,intra.piratini.rs.gov.br/inicial,PORTO ALEGRE,4314902
807,CASA CIVIL,CC,ESTADUAL,www.casacivil.rs.gov.br,PORTO ALEGRE,4314902
809,ASSESSORIA DE IMPRENSA,AI,ESTADUAL,,PORTO ALEGRE,4314902
900,PROCURADORIA-GERAL DE JUSTIÇA,PGJ/MP,ESTADUAL,www.mprs.mp.br,PORTO ALEGRE,4314902
915,Central de Compras do Estado,CECOM/RS,ESTADUAL,,PORTO ALEGRE,4314902
916,Central de Licitações,CELIC,ESTADUAL,,PORTO ALEGRE,4314902
1000,PROCURADORIA-GERAL DO ESTADO,PGE-RS,ESTADUAL,www.pge.rs.gov.br,PORTO ALEGRE,4314902
1001,PROCURADORIA DA REPÚBLICA NO RIO GRANDE DO SUL,PR-RS,ESTADUAL,http://www.prrs.mpf.mp.br,PORTO ALEGRE,4314902
1002,PROCURADORIA DA REPÚBLICA DA 4ª REGIÃO,PRR4,ESTADUAL,http://www.prr4.mpf.mp.br,PORTO ALEGRE,4314902
1005,DEFENSORIA PÚBLICA DO ESTADO,DEFPUB,ESTADUAL,www.defensoria.rs.gov.br,PORTO ALEGRE,4314902
1202,"JUNTA COMERCIAL, INDUSTRIAL E SERVIÇOS DO RIO GRANDE DO SUL",JUCISRS,ESTADUAL,www.jucergs.rs.gov.br,PORTO ALEGRE,4314902
1204,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,SUSEPE,ESTADUAL,www.susepe.rs.gov.br,PORTO ALEGRE,4314902
1410,CAIXA DE ADMINISTRAÇÃO DA DÍVIDA PÚBLICA ESTADUAL S.A.,CADIP,ESTADUAL,www.cadip.com.br,PORTO ALEGRE,4314902
1504,DEPARTAMENTO DE PESCA - SAA,DPC-SAA,ESTADUAL,,PORTO ALEGRE,4314902
1593,ASSOCIAÇÃO SULINA DE CRÉDITO E ASSISTÊNCIA RURAL,ASCAR,ESTADUAL,www.emater.tche.br,PORTO ALEGRE,4314902
